step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.54363319510614,0,0.0,0.9355257652075893,0,0.0
10.0,0,0.0,0.0,11.115848984897463,0,0.0,0.8391955211443838,0,0.0
15.0,4,8.0,0.4444444444444444,7.077892350525624,4,8.0,0.40225727769688296,4,8.0
20.0,8,42.0,2.3333333333333335,7.105168837220266,8,42.0,0.3961340863791856,8,42.0
25.0,8,82.0,3.727272727272727,6.67238557586521,8,82.0,0.37290831258984,8,82.0
30.0,6,91.0,4.55,7.268574979806343,6,95.0,0.4396806679686767,6,95.0
35.0,6,121.0,5.5,7.237080496023537,6,121.0,0.38388804608014027,6,121.0
40.0,10,163.0,6.269230769230769,7.333243177207103,10,163.0,0.4205175688497994,10,163.0
45.0,6,181.0,6.703703703703703,6.442397395426917,6,192.0,0.43323484972384113,6,192.0
50.0,9,214.0,7.925925925925926,6.449670613111333,9,214.0,0.33773283939081616,9,214.0
55.0,12,271.0,9.033333333333333,7.812474010434082,12,271.0,0.39189914263232156,12,271.0
60.0,12,331.0,13.24,6.0503296565477465,12,331.0,0.2353182411894289,12,331.0
65.0,14,400.0,14.814814814814815,6.029609814428968,14,400.0,0.32478252711654054,14,400.0
70.0,8,212.0,8.833333333333334,5.8828166644950235,8,353.0,0.3080015620514592,8,353.0
75.0,8,209.0,5.9714285714285715,8.279250038822731,8,247.0,0.5183894911121217,8,247.0
80.0,12,259.0,8.09375,7.8516679685783055,12,259.0,0.4627698375033209,12,259.0
85.0,10,292.0,8.342857142857143,5.8899408476308865,10,301.0,0.37357631006114156,10,301.0
90.0,16,362.0,12.066666666666666,5.2367844085099495,16,362.0,0.28063778943349116,16,362.0
95.0,16,442.0,13.0,5.6712167226507155,16,442.0,0.2481963352849381,16,442.0
100.0,18,531.0,17.129032258064516,4.9272711385395604,18,531.0,0.22754619799107648,18,531.0
105.0,18,621.0,19.40625,4.704525311240647,18,621.0,0.2542207936114459,18,621.0
110.0,20,717.0,19.37837837837838,5.7045579929091685,20,717.0,0.30215671963755925,20,717.0
115.0,20,817.0,22.694444444444443,5.75784611953994,20,817.0,0.32622806953007805,20,817.0
120.0,16,566.0,16.17142857142857,3.8862454980650316,16,774.0,0.17019689460766635,16,774.0
125.0,13,472.0,12.421052631578947,6.537394007621265,13,635.0,0.32494712235887663,13,635.0
130.0,17,546.0,14.756756756756756,6.638131853044268,17,555.0,0.25343543600144136,17,555.0
135.0,14,590.0,15.945945945945946,5.347864974873497,14,615.0,0.2448661816725248,14,615.0
140.0,16,668.0,20.242424242424242,5.993942019799795,16,677.0,0.27460942226619117,16,677.0
145.0,17,749.0,20.243243243243242,6.714519438068597,17,758.0,0.3395780373606351,17,758.0
150.0,18,839.0,22.675675675675677,6.341162118593166,18,848.0,0.3575908584830726,18,848.0
155.0,18,929.0,27.323529411764707,3.9017130501093713,18,938.0,0.20234891625976015,18,938.0
160.0,21,598.0,16.16216216216216,3.5415366962079555,21,758.0,0.2013601886867408,21,758.0
165.0,23,709.0,19.694444444444443,3.949473755893493,23,718.0,0.1394871093436895,23,718.0
