step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
55.0,40,372.0,2.4635761589403975,8.173561263091528,2,34.0,0.5162722868686346,0,4.0,0.9061545710939242,0,2.0,0.40184764661484046,0,0.0,0.9522547805767655,9,86.0,0.39444312434991763,5,25.0,0.24655026143415376,0,0.0,1.0,0,0.0,0.9074393412544796,0,0.0,0.9824684090192167,0,0.0,0.971832964642628,9,100.0,0.27312059643710673,5,39.0,0.34787377786453416,0,0.0,0.7300549530284776,0,0.0,0.9590655895348372,10,136.0,0.3527998368842036,0,2.0,0.9073689789546819,40,428.0
60.0,51,561.0,3.642857142857143,7.3909321924164555,6,50.0,0.3780396475475016,0,4.0,0.608559696087548,4,14.0,0.576131241747931,0,0.0,0.947174658624485,11,137.0,0.4091535998822242,6,55.0,0.42598613505000904,0,0.0,1.0,0,0.0,0.9179984235224894,0,0.0,0.9454272667452472,0,0.0,0.9214092529328551,11,150.0,0.35742184832529533,0,29.0,0.530625611035936,1,7.0,0.6920687135552523,0,0.0,0.9346777885456299,12,194.0,0.18423112244753378,0,0.0,0.9294646869173507,51,640.0
65.0,67,860.0,5.180722891566265,7.049460716075648,10,94.0,0.3606425282654022,5,21.0,0.32040098555779256,4,34.0,0.6564438300048401,1,1.0,0.707840401843568,13,196.0,0.349749339929497,6,81.0,0.4399463781689348,0,0.0,0.9390790944818407,0,0.0,0.9327676549260957,0,0.0,0.9768593574366431,0,0.0,0.9172926482271342,12,207.0,0.4011284365742598,1,2.0,0.5190597549443777,1,14.0,0.7944107167670977,0,0.0,0.9431887261959778,14,258.0,0.14028486887348618,0,0.0,0.9035069947607471,67,908.0
70.0,71,1141.0,6.269230769230769,7.1768678074339105,6,97.0,0.39694523639882356,8,64.0,0.33696313859442256,4,54.0,0.5860305062235244,1,6.0,0.6213200369009322,14,263.0,0.27814868705224566,6,111.0,0.350034024839769,0,0.0,0.9287230491963342,0,0.0,0.9506146416779953,0,0.0,0.980393793516565,0,0.0,0.9827045807090131,15,269.0,0.30154599793720743,0,1.0,0.7489993882820064,1,19.0,0.8236104229281045,0,0.0,0.9512609950909914,15,332.0,0.2700214764986454,1,5.0,0.2899684875445552,71,1221.0
75.0,72,1446.0,7.901639344262295,6.7994603826949565,1,56.0,0.4438861600907183,8,104.0,0.5083578176396404,4,74.0,0.46827468814104295,1,11.0,0.6579787045797123,16,341.0,0.0843662023116772,6,141.0,0.1160756845584393,0,0.0,0.9302402842738715,0,0.0,0.9358595078850761,0,0.0,0.9604457369774352,0,0.0,0.9792279208314101,16,346.0,0.18004050342900121,0,0.0,0.9492582201441457,2,25.0,0.39056845612292973,0,0.0,0.9389949896439652,17,415.0,0.2940987862581867,1,10.0,0.7722459531832188,72,1523.0
80.0,74,1638.0,8.443298969072165,6.490153892087244,2,51.0,0.457427404108116,8,144.0,0.46013444415942645,4,94.0,0.4716756764200852,0,0.0,0.6953675235691619,18,429.0,0.1689228041301951,0,106.0,0.22395934456354735,0,4.0,0.7818741788767339,0,0.0,0.9282614817232302,0,0.0,0.9559592888523362,0,0.0,0.9596268365446937,18,432.0,0.11175930999031208,0,0.0,0.612811012369241,5,45.0,0.3250752532726958,0,0.0,0.9441715096035315,19,507.0,0.265373185102797,0,4.0,0.9419076235361884,74,1816.0
85.0,91,1953.0,9.620689655172415,6.1730285856982565,8,74.0,0.40559223609095346,11,193.0,0.21409493750043723,0,50.0,0.6088195188274673,1,4.0,0.6373577138201884,20,523.0,0.25174837980641274,0,2.0,0.9209176393152825,1,5.0,0.7085004505663459,0,0.0,1.0,0,0.0,0.9313882477651216,0,0.0,0.9689499256078218,20,529.0,0.26129980140625075,3,8.0,0.49321255390152513,6,75.0,0.3878945223135224,0,0.0,0.9284866718656746,21,607.0,0.20004025375404155,0,0.0,0.9745971983311544,91,2070.0
90.0,105,2427.0,12.014851485148515,5.271415151992994,12,127.0,0.29446612603683975,15,262.0,0.15891350220989559,1,4.0,0.4848665294766891,0,4.0,0.796961584542853,22,627.0,0.23133027740292236,0,2.0,0.9582687264621148,4,16.0,0.4167965109293971,0,0.0,0.38197615291077175,0,0.0,0.9608698417066838,0,0.0,0.93668457317983,22,633.0,0.2804740495529551,0,6.0,0.613490603036368,6,105.0,0.23978243813560915,0,0.0,0.955442735372485,23,718.0,0.08547835607544209,0,4.0,0.47736711593175807,105,2508.0
95.0,104,2805.0,13.293838862559241,5.551236074225672,13,190.0,0.2928007930759749,15,337.0,0.16501219906882414,0,2.0,0.5515382285408905,0,4.0,0.8973837664105638,24,741.0,0.19065978773854794,0,0.0,0.9436418802313957,3,28.0,0.3159989372772015,0,2.0,0.9281858736007336,0,0.0,0.9421321963884716,0,0.0,0.9720479297911007,24,745.0,0.2030800740125291,0,0.0,0.9566051828827863,0,66.0,0.5151833565253668,0,4.0,0.7331241442135464,25,838.0,0.17812011890965748,0,4.0,0.9066406764356034,104,2961.0
100.0,107,3111.0,13.765486725663717,5.941485484427024,15,264.0,0.27844141187348004,9,323.0,0.29202928260722283,0,0.0,1.0,1,5.0,0.29238856531696505,25,862.0,0.11721016565408345,0,0.0,1.0,3,20.0,0.5538357055885783,0,2.0,0.9549979817696678,0,2.0,0.860204793999045,0,0.0,0.933937053414279,25,868.0,0.11402425055014678,0,0.0,0.9753495136470787,2,7.0,0.6864053056458511,1,5.0,0.8062775680520963,26,967.0,0.2530227140232155,0,4.0,0.9374210307551688,107,3329.0
