step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.71242440496358,0,0.0,0.9096376599425341,0,0.0
10.0,0,0.0,0.0,12.533952272851074,0,0.0,0.8948494791655985,0,0.0
15.0,5,5.0,0.2777777777777778,5.847843583195162,5,5.0,0.36172514038449183,5,5.0
20.0,10,49.0,2.7222222222222223,5.481266762804289,10,49.0,0.3217597819574984,10,49.0
25.0,13,103.0,4.681818181818182,3.7272110846196784,13,103.0,0.2275398323012637,13,103.0
30.0,16,179.0,8.136363636363637,2.7548307397986096,16,179.0,0.1969703118518683,16,179.0
35.0,19,267.0,10.26923076923077,2.486882051413658,19,267.0,0.18718896620405145,19,267.0
40.0,16,243.0,7.59375,3.5027035760013634,16,317.0,0.2564714056499317,16,317.0
45.0,10,234.0,6.5,5.905795230634162,10,304.0,0.3497192815559593,10,304.0
50.0,11,285.0,7.5,6.939662446079051,11,290.0,0.30336722220414963,11,290.0
55.0,16,357.0,9.64864864864865,7.1234433601271565,16,357.0,0.33582554898540834,16,357.0
60.0,17,439.0,13.71875,5.4051612682608265,17,439.0,0.16362752816568943,17,439.0
65.0,18,529.0,16.03030303030303,5.2705481627189545,18,529.0,0.27733877653117894,18,529.0
70.0,18,619.0,20.633333333333333,4.09025276479418,18,619.0,0.15168892206781867,18,619.0
75.0,14,429.0,11.0,5.762918097042973,14,589.0,0.39774230453406606,14,589.0
80.0,16,453.0,12.583333333333334,6.322370831225309,16,497.0,0.38633986197416903,16,497.0
85.0,18,539.0,12.833333333333334,6.406407550392326,18,539.0,0.31895368500848537,18,539.0
90.0,24,645.0,16.973684210526315,4.6366191988039285,24,645.0,0.17753158280105957,24,645.0
95.0,28,771.0,20.83783783783784,2.520920635058452,28,771.0,0.11957236622067656,28,771.0
100.0,30,918.0,25.5,1.9437062746587044,30,918.0,0.140356563320046,30,918.0
105.0,32,1072.0,26.8,1.3268126628546555,32,1072.0,0.0903742252294975,32,1072.0
110.0,36,1251.0,27.195652173913043,2.308769572037746,36,1251.0,0.16481937707646369,36,1251.0
115.0,40,1440.0,30.0,1.927198316829094,40,1440.0,0.14003632501445376,40,1440.0
120.0,42,1647.0,32.94,1.7068140897056707,42,1647.0,0.08580989622592879,42,1647.0
125.0,46,1865.0,34.53703703703704,1.9276778864581363,46,1865.0,0.0627186984652914,46,1865.0
130.0,48,2099.0,37.482142857142854,1.189308748424171,48,2099.0,0.016213254320388226,48,2099.0
135.0,52,2347.0,41.910714285714285,0.9763813333601014,52,2347.0,0.06920464389881678,52,2347.0
140.0,53,2608.0,44.96551724137931,0.054845849184672044,53,2608.0,0.004041343661128521,53,2608.0
145.0,58,2890.0,45.15625,1.3377633874285038,58,2890.0,0.0937818356545238,58,2890.0
150.0,58,3180.0,45.42857142857143,1.3115554464203523,58,3180.0,0.089625461727031,58,3180.0
155.0,58,2719.0,38.84285714285714,0.9413954607222322,58,3206.0,0.05769923878008663,58,3206.0
160.0,56,2205.0,29.7972972972973,1.6098469922298662,56,3001.0,0.05355630992562958,56,3001.0
165.0,50,2080.0,28.10810810810811,2.48156145430629,50,2772.0,0.06231036387720803,50,2772.0
170.0,46,2279.0,31.65277777777778,3.409804332776708,46,2635.0,0.12701747608318742,46,2635.0
